Unnamed: 0,reviewID,reviewerID,restaurantID,date,rating,reviewUsefulCount,reviewContent,flagged,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount,restaurantRating,ReviewLength,review_year,sentiment_score,reviewer_sentiment_var,lexical_diversity_ttr,word_repetitiveness,capitalization_ratio,location_entropy,days_active,review_velocity,restaurant_rating_var,char_count,word_count,avg_word_length,has_friends,has_useful_votes
7267,dLS_UUea0Yh7et2YlGpUOw,hfQu0YNy_XW5oiiripgUFg,8d_DiHWB-pjBVW3a7D8EWg,2012-01-25,4,0,sunda amazing i heard many good things finally got experience weeks ago first time i really enjoyed crispy brussel sprout salad something i probably tried own the sushi great course the tail two tunas favorite i know spicy tuna classic places get right sunda did had roll came guacamole something overwhelming many tastes heavy sushi roll complaint night we went dessert completed evening something weird name none less awesome carrot cake dessert,1,Mallory M.,"Chicago, IL",2012-01-01,0,1,0,0,0,0,0,0,0,4.0,72,2012,0.31865079365079363,0.0,0.8472222222222222,0.1527777777777778,0.0,0.0,24,0.041666666666666664,1.8160919540229887,447,72,6.208333333333333,0,0
731,EDejgdY32F8Lr4ewh7FeiA,_jsZl-USMgrVVasNg50wAQ,boE4Ahsssqic7o5wQLI04w,2012-05-05,4,0,absolutely fantastic foodie community table great single diner small plates reasonable priced,0,Shawn K.,"Davenport, FL",2012-03-01,0,1,0,0,0,0,0,5,0,4.0,12,2012,0.21571428571428575,0.0,1.0,0.0,0.0,0.0,65,0.015384615384615385,0.8128078817733989,93,12,7.75,0,0
9902,TRLtyGBT7VFODhxgyZ2tLA,sZxXpvmBUN2fSCtK_BZFoQ,ms5ge1XY9-Alu7HkybAMdQ,2007-11-09,3,0,i work right rarely go here they 5 personal stuffed pizzas lunch they re ok even close good real deal full size stuffed pizza and ask me real deal stuffed pizza exciting and btw giordano s not deep dish pizza stuffed pizza it s same though i actually think i prefer stuffed pizza deep dish i like giordano s crust i much prefer nearby pizano s i ve never understood location can t work something pru plaza tables outside that would make cooler place hang work nothing else it s ok pinch though their non pizza food anything write home either ok,0,Dane K.,"Chicago, IL",2006-09-01,295,845,143,2499,1451,1151,1377,2,55,3.5,102,2007,0.23739495798319327,0.057733820942386785,0.6862745098039216,0.3137254901960784,0.0,0.0,434,1.9470046082949308,1.1630252100840335,544,102,5.333333333333333,1,1
25894,6QYZT3mkrmBmYNDUN18ILg,YMS9Fzy0OcOXFcS_qms_pg,3Mx2PM7v8qjqhgF3cDXxbQ,2011-06-20,3,0,this best big 3 brazilian steakhouses chicago however need make sure apply promotions use e g restaurant week 50 off etc on three separate occasions forgot apply promotions i presented,1,Pennywise S.,"Chicago, IL",2011-06-01,1,2,0,0,0,0,0,0,0,4.0,30,2011,0.5,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,19,0.10526315789473684,1.2380952380952381,184,30,6.133333333333334,1,0
17519,xuKTaBhJT0GaI4wRFZi6Qw,uvWWKett-BIRbvyLZXaloQ,vvhfPV-Llkd4fE2SHuLVvA,2009-09-28,4,0,i lunch the gage group 8 this first time there needless say loved it the food better expected given pub food mediocre best the special sandwich braised beef rib sandwich greens swiss thinly sliced granny smith apple pretzel roll big winner the service perfect match food our waiter attentive nice the beer selection outstanding including nice belgian ales well domestic higher end selections the decor nice combination old world feel dark woods modern glass subway tiles we sat rear next kitchen disturbed sounds smells kitchen highly recommend even little pricey side pub lunch,1,Rich C.,"Stoneham, MA",2009-09-01,0,1,0,0,0,0,0,0,0,4.0,93,2009,0.2241517857142857,0.0,0.8602150537634409,0.13978494623655913,0.0,0.0,27,0.037037037037037035,1.0904761904761906,578,93,6.21505376344086,0,0
14920,ncQNMQv__ZanqjrSehxlYA,-ZnHk8rEBKMDccy-Busuyw,Pcg4FtfbvSMMwrYuE1yVjQ,2012-01-23,4,0,mastros great i ve quite times it great interior decor marvelous bar live music it s definitely great place meet friends i visited mastros evening friends we steaks cooked perfectly i tell place service our waiter on spot he attentive nothing missed made easy evening get butter cake,1,Jason Jay K.,"Oak Brook, IL",2011-10-01,25,3,0,1,0,0,5,0,1,4.0,48,2012,0.6712121212121213,0.0,0.8125,0.1875,0.0,0.0,114,0.02631578947368421,1.4545454545454546,283,48,5.895833333333333,1,1
13557,jnc23zBiOapn6vSOBw7t-w,fJoVX8iLtCpdx0xI5TSXSA,OKOfoisduqP24uK3WYvx7Q,2010-05-12,3,0,after hype i say i expected more gastropubs favorite type restaurant i look kind places big complements finish out restaurant beautiful open airy contemporary brewpub look what great room open kitchen nice crowd well 20 minute wait table the menu ok honestly i searched awhile i found something i interested in and settling ahi tuna arrived pretty cold great salad though the beer needs work on brewpub scale revolution rates lower end like rock bottom brewery what i mean beer pretty middle road strong weak dark hoppy etc pretty bland contrast pizza pub piece north avenue beers tend on style unafraid hop beer level might evoke reaction i liked revolution great see restaurant level come logan square area,0,Todger Toddger D.,"Cook, IL",2009-10-01,6,42,0,44,12,22,2,45,1,4.0,118,2010,0.26095679012345674,0.020867284742042608,0.8050847457627118,0.19491525423728814,0.0,0.0,223,0.18834080717488788,0.9954751131221719,708,118,6.0,1,1
14474,4rvoE2YTph0zcgZyeu2Q9w,FtFmC_cYO8NsCItbgEb9sg,FCcgXODBs6O7MGH3VZNyLQ,2009-11-07,5,0,i hot dog fan i say superdawg super treat it may well represent pinnacle happen hot dog bun poppy seed buns flourescent relish sweet spicy peppers quality franks get furter outta here nathans coney island pinks los angeles can t hold candle place,0,David C.,"Bloomington, IL",2009-10-01,8,201,19,104,34,39,15,2,2,4.0,43,2009,0.2958333333333333,0.0,0.9302325581395349,0.06976744186046512,0.0,0.0,37,5.4324324324324325,1.9750290360046459,246,43,5.72093023255814,1,1
23867,EJ_Rp2NFUdMi1j652A9J4Q,Kh6rQmwr11UxDcE1xubxMA,cQnY_VneZisfUAqcbuEuKg,2007-05-14,5,0,just returned costa rica addicted food nuevo leon broke addiction wow basically pay beverages get humungous delicious entree for free they even made something not menu i mentioned dish i love gets vote best mexican food chicago can t wait try everything on menu and though husband thought risky parking baby there hey was parking totally safe too,1,Ursula R.,"Chicago, IL",2007-05-01,2,2,1,5,3,0,2,0,0,4.0,58,2007,0.3875,0.0,0.9310344827586207,0.06896551724137931,0.0,0.0,13,0.15384615384615385,2.0671936758893286,346,58,5.9655172413793105,1,1
18258,GiFY7C6lw9XzCfXjc4RNnQ,ax2VUpuWlDScCuvjPPhekQ,6gZTET0y7ARZMrbJRmI2mw,2008-09-12,4,0,the service pretty good everything ordered tasted great food drinks the floor set bathrooms nothing special kept clean night the staff knowledgeable friendly,1,Lester R.,"Chicago, IL",2008-09-01,0,13,0,1,0,0,0,0,0,3.5,23,2008,0.47480158730158734,0.0,0.9130434782608695,0.08695652173913043,0.0,0.0,11,1.1818181818181819,1.79047619047619,157,23,6.826086956521739,0,1
22415,pVk8XWHANSxdRYA3Y93R,xDclXkpQ5aBImR0Qz5wVXA,yBRaSkuYwFhYEoucDyD0lA,2011-11-01,5,1,hands best chinese i ve ever had i guest china visiting wanted hot pot she actually suggested it i wanted vegetables menu put together gorgeous plate us it came split bowl cooking one spicy soup stock three sauces di instructed add spoon bowl it eat time finished gigantic plate brought us i even think eating more that week ago i ve back since plate baicai quite good i m going back today hunan vegetables it little pricey chinese worth it if go dinner time 7 pm prepared wait line it s busy,0,John Dub W.,"Chicago, IL",2010-12-01,6,8,0,5,3,3,0,5,1,4.0,92,2011,0.2586538461538462,0.0,0.782608695652174,0.21739130434782608,0.0,0.0,335,0.023880597014925373,2.6225716928769662,492,92,5.3478260869565215,1,1
